id;creation_date;update_date;procedura;enabled
1;2020-12-20T15:41:40;2020-12-20T16:09:21;Rhode Island convergence;false
2;2020-12-20T18:48:31;2020-12-21T00:45:48;transparent;true
3;2020-12-21T02:31:15;2020-12-20T13:52:45;metrics array Fantastic Concrete Cheese;false
4;2020-12-20T16:54:19;2020-12-21T09:28:09;payment multi-tasking front-end;true
5;2020-12-20T15:48:28;2020-12-21T03:52:33;scale Guinea Franc;false
6;2020-12-21T07:45:44;2020-12-20T21:00:00;bandwidth Towels;false
7;2020-12-20T14:28:01;2020-12-21T01:13:48;ivory gold;true
8;2020-12-21T03:04:10;2020-12-21T11:49:32;Practical metrics Indian Rupee Ngultrum;true
9;2020-12-20T16:19:12;2020-12-20T16:11:06;reboot back-end;true
10;2020-12-20T18:44:57;2020-12-21T05:12:51;alarm Czech Koruna;false
